كد كالا	نام كالا	طبقه خصوصيت سري محصول	توان	موقعیت ترمینال	ترمینال DC یوپی اس	اندازه حداکثر سرسیم ترمینال DC	ترمینال AC ورودی یوپی اس	اندازه حداکثر سرسیم ترمینال AC ورودی	ترمینال AC خروجی یوپی اس	اندازه حداکثر سرسیم ترمینال AC خروجی	وزن خالص	وزن با بسته بندی	ابعاد دستگاه ارتفاع(mm)	ابعاد دستگاه مقابل(mm)	ابعاد دستگاه کنار(mm)	ابعاد بسته بندی           (L-W-H)	جریان شارژر	SNMP بیرونی	SNMP داخلی	خروجی DC  یوپی اس	امکان پارالل 	کیت پارالل	 Maintenance Bypass	EPO	Cold Start	تعداد فاز ورودی	تعداد فاز خروجی	تعداد باتری	Power Factor	تعداد باتری	Power Factor	تعداد باتری		تعداد باتری	Power Factor	تعداد باتری	Power Factor	تعداد باتری	Power Factor	تعداد باتری	Power Factor	تعداد باتری	Power Factor	تعداد باتری	Power Factor	تعداد باتری	Power Factor	تعداد باتری	Power Factor
501010460001020	UPS New Eternal 6KVA Version 02	New Eternal	6	پشت	پیچی 5	16*6	پیچی 5	16*6	پیچی 5	16*6	47	55	630	250	51	665-380-810	0	DY522-LF	ندارد	2	ندارد		ندارد	ندارد	دارد	1	1	16	0.8																				
501010940001320	UPS Spider Net 2+ 10KVA Version 02	Spider Net 2+	10	جلو	پیچی 6	25*8	پیچی 6	25*8	پیچی 6	25*8	127	147	1060	360	660	780-470-1232	9	بزودی	KPM550-S	2	دارد	کيت پارالل 008	دارد	دارد	دارد	3	3	32	0.8																				
5010108700018	UPS Spider Net+ 40KVA	Spider Net+	40	جلو	پیچی 6	25*8	پیچی 6	25*8	پیچی 6	25*8	247	272	1100	430	840	952-550-1285	36	بزودی	KPM550-S	2	دارد	کيت پارالل 012	دارد	دارد	دارد	3	3	32	0.8																				
5010108700029	UPS Spider Net+ 200KVA	Spider Net+	200	جلو	پیچی 8	70*12	پیچی 8	70*12	پیچی 8	70*12	1275	1375	1900	1400	905	1538-1113-2150	150	ندارد	KPM550-S	2	دارد	کيت پارالل 012	دارد	دارد	دارد	3	3	32	0.9																				
501011020002219	UPS Duoble IGBT Spider Net 100KVA Version 01	Duoble IGBT Spider Net	100	جلو	پیچی 10	70*12	پیچی 10	70*12	پیچی 10	70*12	911	953	1100	430	840	1000-800-1800	0	بزودی	KPM550-S	2	ندارد		دارد	دارد	دارد	3	3	50	0.9																				
50219097170221	Stablizer Servo 30KVA Version 01	Servo	30	جلو	پیچی 6	35*8	پیچی 6	35*8	پیچی 6	35*8	70	75	1100	430	840	475-530-1015												ندارد																					
50219097200221	Stablizer Servo 60KVA Version 01	Servo	60	جلو	پیچی 6	70*12	پیچی 6	70*12	پیچی 6	70*12	150	160	1100	430	840	515-620-1315												ندارد																					
50219097350221	Stablizer Servo 45KVA Version 01	Servo	45	جلو	پیچی 6	70*12	پیچی 6	70*12	پیچی 6	70*12	140	147	1100	430	840	515-620-1315												ندارد																					
50219112130221	Stablizer SWA 10KVA Version 01	SWA	10	(دیواری) پایین	ندارد	ندارد	آسانسوری	وایرشو16	آسانسوری	وایرشو16	25	26	1100	430	840	455-350-240												ندارد																					
50219112140221	Stablizer SWA 12KVA Version 01	SWA	12	(دیواری) پایین	ندارد	ندارد	آسانسوری	وایرشو16	آسانسوری	وایرشو16	24.8	25	1100	430	840	455-350-240												ندارد																					
50219113130221	Stablizer RWA 10KVA Version 01	RWA	10	(دیواری) پایین	ندارد	ندارد	آسانسوری	وایرشو16	آسانسوری	وایرشو16	15.5	16	1100	430	840	460-358-225												ندارد																					
50219113150221	Stablizer RWA 15KVA Version 01	RWA	15	(دیواری) پایین	ندارد	ندارد	آسانسوری	وایرشو16	آسانسوری	وایرشو16	19.2	20	1100	430	840	460-358-225												ندارد																					
50219114150221	Stablizer Servo Single 15KVA Version 01	Servo Single	15	پشت		وایرشو		وایرشو		وایرشو	45	47	1100	430	840	440-340-640												ندارد																					
501010700001320	UPS Genesis-B 10KVA Version 02	Genesis-B	10	پشت	پیچی 5	6*4	پیچی 5	6*4	پیچی 5	6*4	13	15	330	190	500	553-275-446	10	DY522-LF	CP504	2	ندارد		ندارد	دارد	دارد	1	1	16	0.9	18	0.9	20	0.9																
501010700001020	UPS Genesis-B 6KVA Version 02	Genesis-B	6	پشت	پیچی 4	6*4	پیچی 4	6*4	پیچی 4	6*4	12	14	330	190	500	553-275-446	10	DY522-LF	CP504	2	ندارد		ندارد	دارد	دارد	1	1	16	0.9	18	0.9	20	0.9																
5010105402321	UPS Uranus 80KVA version 02	Uranus	80	پشت	پیچی 10	70*12	پیچی 8	70*12	پیچی 8	70*12	138	156	1200	440	880	1010-560-1380		بزودی	KPM550-U	3	دارد	کيت پارالل 011	دارد	دارد	دارد	3	3	30	0.8	32	0.9	34	0.9	36	0.9	38	0.9	40	0.9	42	0.9	44	0.9	46	0.9	48	0.9	50	0.9
501010940002320	UPS Spider Net 2+ 120KVA Version 02	Spider Net 2+	120	جلو	پیچی 8	70*12	پیچی 8	70*12	پیچی 8	70*12	611	656	1600	890	800	1031-882-1800	109.2	بزودی	KPM550-S	2	دارد	کيت پارالل 008	دارد	دارد	دارد	3	3	32	0.8																				
501011020002319	UPS Duoble IGBT Spider Net 120KVA Version 01	Duoble IGBT Spider Net	120	جلو	پیچی 10	70*12	پیچی 10	70*12	پیچی 10	70*12	911	953	1800	1000	800	1000-800-1800	0	بزودی	KPM550-S	2	ندارد	ندارد	دارد	دارد	ندارد	3	3	50	0.9																				
501011110001819	UPS Spider Net NICD 40KVA Version 01	Spider Net NICD	40	جلو	پیچی 6	25*8	پیچی 6	25*8	پیچی 6	25*8	245	270	1100	430	840	952-550-1285	36	بزودی	KPM550-S	2	دارد		دارد	دارد	دارد	3	3	270	0.9																				
